latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.17641,-6.89399,300.67,0.5,0.41,2023-10-28,200,N20,VIIRS,n,2,286.89,1.04,N,0
38.50413,-8.93557,316.98,0.43,0.46,2023-10-28,200,N20,VIIRS,n,2,288.5,1.55,N,2
38.9216,-9.01281,299.75,0.44,0.46,2023-10-28,200,N20,VIIRS,n,2,286.67,0.54,N,2
37.65536,-8.18755,341.59,0.41,0.37,2023-10-28,1321,N20,VIIRS,n,2,292.45,2.45,D,0
37.65793,-8.19308,356.67,0.41,0.37,2023-10-28,1321,N20,VIIRS,l,2,294.55,8.87,D,0
37.65872,-8.18848,356.36,0.41,0.37,2023-10-28,1321,N20,VIIRS,l,2,294.35,8.87,D,0
37.17762,-6.89513,306.44,0.58,0.52,2023-10-29,141,N20,VIIRS,n,2,283.62,0.97,N,0
38.50106,-8.93956,296.1,0.71,0.75,2023-10-30,122,N20,VIIRS,n,2,282.68,0.94,N,2
38.50259,-8.94076,295.13,0.71,0.75,2023-10-30,122,N20,VIIRS,n,2,282.9,0.76,N,2
38.50089,-8.93566,298.11,0.5,0.49,2023-10-30,302,N20,VIIRS,n,2,284.98,1.13,N,2
38.50333,-8.93601,298.5,0.5,0.49,2023-10-30,302,N20,VIIRS,n,2,284.41,1,N,2
40.28997,-8.42144,298.03,0.49,0.48,2023-10-30,302,N20,VIIRS,n,2,283.49,0.96,N,2
39.11377,-9.11778,336.48,0.49,0.48,2023-10-31,1406,N20,VIIRS,n,2,288.83,3.18,D,0
38.5015,-8.9344,307.84,0.39,0.36,2023-11-01,225,N20,VIIRS,n,2,287.63,1.62,N,2
38.50215,-8.93878,309.69,0.39,0.36,2023-11-01,225,N20,VIIRS,n,2,283.09,1.39,N,2
37.12402,-8.42585,332.3,0.45,0.39,2023-11-01,1346,N20,VIIRS,n,2,292.02,2.69,D,0
