latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.37967,-6.48333,307.35,0.38,0.36,2023-10-03,219,N,VIIRS,n,2,292.56,0.94,N,2
38.50059,-8.93685,307.22,0.41,0.37,2023-10-03,219,N,VIIRS,n,2,291.31,1.01,N,2
38.62762,-9.07841,305.67,0.42,0.37,2023-10-03,219,N,VIIRS,n,2,290.31,1.38,N,2
38.64207,-6.26959,310.7,0.38,0.36,2023-10-03,219,N,VIIRS,n,2,289.51,0.64,N,0
38.64536,-6.26875,303,0.38,0.36,2023-10-03,219,N,VIIRS,n,2,289.73,0.64,N,0
38.37901,-6.4808,300.08,0.49,0.4,2023-10-04,200,N,VIIRS,n,2,288.37,0.63,N,0
38.50171,-8.93728,306.41,0.43,0.46,2023-10-04,200,N,VIIRS,n,2,290.99,0.63,N,2
38.62976,-9.07922,301.9,0.44,0.46,2023-10-04,200,N,VIIRS,n,2,290.51,0.77,N,2
40.78234,-7.83125,314.52,0.4,0.44,2023-10-04,200,N,VIIRS,n,2,288.83,1.64,N,0
41.64886,-8.73563,305.45,0.45,0.47,2023-10-04,200,N,VIIRS,n,2,287.86,0.49,N,0
37.953,-8.80149,295.2,0.41,0.45,2023-10-04,201,N,VIIRS,n,2,279.48,0.91,N,2
37.37019,-6.3494,337.73,0.39,0.36,2023-10-04,1322,N,VIIRS,l,2,311.67,10.06,D,0
37.44623,-7.58182,355.5,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,308.2,2.93,D,0
37.44698,-7.57735,345.14,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307.45,2.93,D,0
37.44767,-7.61496,345.89,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,308.06,1.93,D,0
37.44772,-7.57289,341.02,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307.51,2.01,D,0
37.44842,-7.61049,344.76,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307.58,4.22,D,0
37.44957,-7.58272,346.35,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307.49,2.93,D,0
37.45004,-7.66589,335.41,0.4,0.37,2023-10-04,1322,N,VIIRS,l,2,307.09,2.42,D,0
37.45032,-7.57825,343.17,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307,2.93,D,0
37.45262,-7.67129,338.21,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307.42,1.9,D,0
37.45338,-7.66681,344.79,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,307.64,2.42,D,0
37.45628,-7.54258,335.53,0.4,0.37,2023-10-04,1322,N,VIIRS,l,2,306.48,2.22,D,0
37.45702,-7.53811,336.93,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,306.39,2.35,D,0
38.54013,-7.96227,348.36,0.4,0.37,2023-10-04,1322,N,VIIRS,n,2,309.63,4.62,D,0
