latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.40449,-7.50605,295.16,0.34,0.56,2024-01-01,0140,N20,VIIRS,n,2,272.48,0.35,N,0
38.01472,-7.41553,354.3,0.33,0.55,2024-01-02,1244,N20,VIIRS,n,2,290.22,10.58,D,0
38.00985,-7.41353,328.89,0.33,0.55,2024-01-02,1244,N20,VIIRS,n,2,288.44,2.71,D,0
38.01191,-7.41025,345.93,0.33,0.55,2024-01-02,1244,N20,VIIRS,n,2,287.53,10.38,D,0
38.01099,-7.41392,352.85,0.33,0.55,2024-01-02,1244,N20,VIIRS,n,2,293.5,13.07,D,0
38.01566,-7.41189,327.8,0.33,0.55,2024-01-02,1244,N20,VIIRS,n,2,287.15,6.93,D,0
37.5617,-8.12146,341.77,0.42,0.45,2024-01-17,1302,N20,VIIRS,n,2,288.83,6.63,D,0
37.95552,-8.79599,301.15,0.53,0.5,2024-01-18,0303,N20,VIIRS,n,2,262.2,0.66,N,2
38.62959,-9.07852,314.36,0.39,0.36,2024-01-20,0225,N20,VIIRS,n,2,284.16,1.59,N,2
38.62969,-9.08146,295.6,0.32,0.55,2024-01-22,0147,N20,VIIRS,n,2,279.47,0.79,N,2
38.84112,-9.39754,344.2,0.33,0.56,2024-01-23,1250,N20,VIIRS,n,2,290.42,3.18,D,0
37.55595,-8.10835,334.85,0.61,0.54,2024-01-23,1250,N20,VIIRS,n,2,289.65,3.97,D,0
38.04154,-7.35799,337.33,0.55,0.51,2024-01-23,1250,N20,VIIRS,n,2,287.8,4.42,D,0
37.55876,-8.11471,326.37,0.6,0.7,2024-01-23,1431,N20,VIIRS,n,2,291.75,4.77,D,0
39.047,-7.86169,298.32,0.39,0.44,2024-01-24,0250,N20,VIIRS,n,2,281.92,0.19,N,0
38.63088,-9.07948,298.48,0.52,0.42,2024-01-24,0250,N20,VIIRS,n,2,284.82,0.74,N,2
37.56429,-8.11697,302.73,0.4,0.44,2024-01-24,0250,N20,VIIRS,n,2,280.13,0.76,N,0
37.55444,-8.11087,299.04,0.4,0.45,2024-01-24,0250,N20,VIIRS,n,2,280.85,0.42,N,0
38.58968,-7.77282,325.93,0.49,0.65,2024-01-24,1232,N20,VIIRS,n,2,290.95,2.02,D,0
37.9585,-8.80369,299.57,0.39,0.36,2024-01-25,0232,N20,VIIRS,n,2,287.31,1.04,N,2
40.83211,-8.27459,338.26,0.39,0.44,2024-01-25,1354,N20,VIIRS,n,2,282.1,5.4,D,0
40.83652,-8.27135,331.64,0.39,0.44,2024-01-25,1354,N20,VIIRS,n,2,278.76,3.79,D,0
41.9763,-8.29698,302.2,0.47,0.4,2024-01-26,0212,N20,VIIRS,n,2,262.92,0.61,N,0
41.01143,-8.11286,325.53,0.4,0.37,2024-01-26,1335,N20,VIIRS,n,2,289.49,2.71,D,0
41.00869,-8.10747,334.03,0.4,0.37,2024-01-26,1335,N20,VIIRS,n,2,290.02,3.19,D,0
40.88276,-8.23561,329.84,0.4,0.37,2024-01-26,1335,N20,VIIRS,n,2,287.09,12.04,D,0
40.45769,-7.52153,356.13,0.35,0.57,2024-01-29,1238,N20,VIIRS,l,2,286.23,6.01,D,0
40.45243,-7.52038,338,0.35,0.57,2024-01-29,1238,N20,VIIRS,n,2,284.97,6.01,D,0
40.4556,-7.52255,352.5,0.35,0.57,2024-01-29,1238,N20,VIIRS,n,2,291.87,14.1,D,0
40.45651,-7.51909,333.15,0.35,0.57,2024-01-29,1238,N20,VIIRS,n,2,283.16,9.55,D,0
40.45677,-7.52495,326.69,0.35,0.57,2024-01-29,1238,N20,VIIRS,n,2,284.43,6.01,D,0
41.02297,-8.11288,354,0.43,0.62,2024-01-29,1419,N20,VIIRS,n,2,285.22,6.79,D,0
40.8588,-8.2557,350.26,0.42,0.61,2024-01-29,1419,N20,VIIRS,n,2,281.63,6,D,0
