latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.40587,-7.50238,295.18,0.39,0.36,2024-01-01,0231,N,VIIRS,n,2,273.03,0.29,N,0
37.78048,-7.80049,337.01,0.46,0.47,2024-01-06,1359,N,VIIRS,n,2,284.73,4.27,D,0
38.62875,-9.0778,295.56,0.39,0.36,2024-01-12,0226,N,VIIRS,n,2,275.43,0.58,N,2
38.03461,-7.36117,325.23,0.51,0.41,2024-01-12,1347,N,VIIRS,n,2,286.81,3.81,D,0
37.70148,-8.7822,329.74,0.45,0.39,2024-01-12,1347,N,VIIRS,n,2,288.88,2.85,D,0
38.63095,-9.07773,299.06,0.41,0.45,2024-01-21,0257,N,VIIRS,n,2,280.62,0.76,N,2
38.63125,-9.07961,299.81,0.41,0.37,2024-01-22,0238,N,VIIRS,n,2,280.79,0.65,N,2
37.14747,-8.45643,329.06,0.42,0.45,2024-01-22,1359,N,VIIRS,n,2,290.58,2.99,D,0
38.03922,-7.35882,335.85,0.44,0.39,2024-01-23,1341,N,VIIRS,n,2,291.43,3.25,D,0
37.56229,-8.11695,334.48,0.42,0.37,2024-01-23,1341,N,VIIRS,n,2,293.36,5.49,D,0
37.55604,-8.11085,338.85,0.42,0.37,2024-01-23,1341,N,VIIRS,n,2,293.85,5.44,D,0
38.84263,-9.39676,330.2,0.4,0.37,2024-01-23,1341,N,VIIRS,n,2,291.29,3.32,D,0
38.34451,-7.35247,326.75,0.45,0.39,2024-01-23,1341,N,VIIRS,n,2,289.97,1.24,D,0
38.62907,-9.07803,295.6,0.43,0.46,2024-01-24,0200,N,VIIRS,n,2,285.09,0.52,N,2
37.563,-8.11893,296.86,0.56,0.43,2024-01-24,0201,N,VIIRS,n,2,280.77,0.73,N,0
38.58814,-7.77313,327.93,0.39,0.37,2024-01-24,1322,N,VIIRS,n,2,293.45,1.81,D,0
38.51017,-7.90722,325.82,0.4,0.37,2024-01-24,1322,N,VIIRS,n,2,296.39,18.02,D,0
38.51093,-7.90271,344.33,0.4,0.37,2024-01-24,1322,N,VIIRS,n,2,295.31,18.02,D,0
41.20275,-8.55353,335.98,0.39,0.36,2024-01-24,1323,N,VIIRS,n,2,293.87,1.44,D,0
40.04164,-8.27643,335.97,0.57,0.43,2024-01-25,1304,N,VIIRS,n,2,291.81,31.69,D,0
41.08388,-8.36344,339.72,0.54,0.42,2024-01-25,1304,N,VIIRS,n,2,268.99,6.56,D,0
40.83646,-8.27139,327.83,0.55,0.42,2024-01-25,1304,N,VIIRS,n,2,274.61,3.57,D,0
